SquareFeet,Bedrooms,Bathrooms,Garage,Neighborhood,Price
1748,4,3,No,B,261199.82838973706
1430,1,3,No,A,209474.41877181438
1823,3,1,Yes,C,253908.27629393782
2261,5,3,No,A,321474.4491401163
1382,3,3,No,C,213414.62927488005
1382,3,2,Yes,A,208250.62646458636
2289,1,1,No,C,281167.6822467195
1883,1,1,Yes,C,240662.84932143174
1265,1,1,No,A,184619.020929004
1771,2,3,Yes,A,244210.14863827542
1268,4,1,No,C,196886.25502586065
1267,2,3,Yes,B,218151.34548384268
1620,4,3,No,A,261233.09452104184
543,4,2,Yes,B,127801.20759107245
637,3,2,No,A,152282.04917294232
1218,3,2,No,A,181135.6073086395
993,4,2,No,A,207591.44322012152
1657,4,2,No,A,262703.1319213559
1045,2,3,No,B,179902.68087859894
793,2,3,No,A,164124.2656173511
2232,3,1,No,C,281190.8067189087
1387,1,3,No,C,215304.42789925812
1533,4,3,No,B,242463.36967497534
787,2,2,Yes,A,144352.36610607605
1227,3,3,Yes,C,204014.4251367414
1555,2,2,No,B,223830.12524190574
924,4,1,Yes,A,158082.63280682365
1687,4,1,No,C,237118.52754103337
1199,5,3,No,C,201481.55574000286
1354,1,1,Yes,B,205973.3076556062
1199,5,3,No,A,206578.87253543732
2426,3,1,No,A,302379.79128429847
1493,2,2,Yes,C,231715.04679815998
971,3,2,Yes,C,179796.2035433933
1911,4,2,No,C,283145.0105594896
889,5,2,Yes,A,187060.83224196653
1604,5,3,Yes,B,275774.5489693842
520,5,1,No,B,132439.60233306815
835,3,3,Yes,A,154923.92321004492
1598,4,2,Yes,B,246510.37800762124
1869,2,3,No,C,261209.95377120184
1585,2,1,Yes,B,215924.9471668446
1442,3,3,Yes,B,231199.2517221724
1349,5,1,No,B,225557.5273300959
760,1,3,No,C,143640.05158403717
1140,3,1,No,A,198743.8808733172
1269,3,1,Yes,C,189003.86040997185
2028,4,2,No,A,284360.96778674534
1671,2,1,No,A,237963.07881780868
618,3,2,Yes,A,136921.0079131594
1662,3,2,No,B,227439.97661061463
1307,5,2,No,B,228974.07491788804
1161,5,3,No,A,205865.35659643973
1805,1,3,No,A,263948.98449393694
2015,4,3,Yes,B,279858.55864972336
1965,1,3,No,C,261565.63417903587
1080,5,1,No,A,198624.33409555358
1345,2,1,Yes,C,204905.08092742023
1665,5,3,No,B,258114.14289315324
1987,4,1,Yes,A,279250.31598170835
1260,5,1,Yes,C,198459.60864455643
1407,4,2,Yes,C,225802.5911748891
946,4,2,No,C,179885.53923390066
901,4,2,Yes,B,170362.18394808972
1906,4,2,Yes,B,266247.1429440924
2178,4,1,Yes,C,295502.4857821479
1463,2,3,No,C,226750.188566991
2001,1,1,No,B,257441.7792108039
1680,3,1,No,C,229661.8552981925
1177,1,1,No,C,179824.77049335468
1680,4,2,No,B,247366.77635163395
2269,2,2,No,C,290553.4237956307
1482,5,2,No,C,237635.29810758113
2282,2,3,Yes,C,325283.05472055386
190,4,1,Yes,B,92331.72334092922
1910,2,3,Yes,C,286977.7654124202
1543,2,2,Yes,B,249443.31714730096
1350,4,3,No,B,216465.81097622326
1545,2,1,Yes,A,221590.44208198963
506,3,1,Yes,A,143637.3191781631
1390,3,2,Yes,C,216789.20038590956
1678,2,2,Yes,B,242168.121457654
2238,5,3,No,A,303099.9452562511
1240,4,2,No,C,202683.38099680332
1095,3,2,No,A,194055.88684668936
1249,5,1,Yes,A,231192.8264295125
1957,2,2,No,B,267739.9316652831
1664,5,2,Yes,B,238773.73677748645
1235,1,1,No,A,171447.50809226691
1756,3,1,No,A,247242.10314061702
1548,2,3,No,B,247572.0679805225
1984,4,2,No,C,288773.53682875395
1148,2,1,No,B,186402.55863510128
1336,4,3,Yes,A,237691.44386917597
1303,2,3,No,C,204097.7091248105
768,5,2,Yes,A,165990.94719957566
1648,5,2,Yes,C,248596.17879797606
1630,5,3,Yes,A,256285.44264547926
1502,1,1,Yes,C,202137.30645674514
1382,4,3,Yes,C,225760.23928566204
792,5,2,No,A,167922.844337546
1289,1,1,No,C,187185.2850013845
1328,4,1,No,B,208189.38496986197
