School_Code,School_Name,Pct_First_Language_Not_English,Pct_English_Language_Learner,Pct_Students_With_Disabilities,Pct_High_Needs,Pct_Economically_Disadvantaged,Pct_African_American,Pct_Asian,Pct_Hispanic,Pct_White,Pct_Native_American,Pct_Native_Hawaiian_Pacific_Isla,Pct_MultiRace_NonHispanic,Pct_Males,Pct_Females,Average_Class_Size
10505.0,Abington High,5.3,2.4,9.7,28.8,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,15.8
10003.0,Beaver Brook Elementary School,10.5,7.2,13.3,37.1,23.3,1.9,1.9,6.7,88.4,0.5,0.2,0.3,50.2,49.8,24.6
10002.0,Center Elementary School,12.8,3.0,21.2,34.0,16.3,3.9,3.0,8.4,84.7,0.0,0.0,0.0,54.2,45.8,14.6
10405.0,Frolio Middle School,5.5,1.8,13.1,30.8,21.6,2.4,1.8,6.1,89.3,0.0,0.0,0.3,53.4,46.6,21.1
10015.0,Woodsdale Elementary School,5.9,2.0,10.8,30.6,22.7,2.0,1.4,4.2,92.1,0.0,0.0,0.3,50.7,49.3,30.4
30025.0,Acushnet Elementary School,0.6,0.4,14.3,35.5,25.3,0.7,0.2,3.3,92.8,0.2,0.0,2.8,53.2,46.8,20.1
30305.0,Albert F Ford Middle School,1.0,0.5,13.7,29.3,19.7,0.7,0.2,1.0,97.4,0.0,0.0,0.7,50.8,49.2,16.9
50003.0,Agawam Early Childhood Center,1.3,0.0,41.1,51.7,29.8,4.6,8.6,12.6,71.5,0.0,0.0,2.6,57.6,42.4,11.9
50505.0,Agawam High,4.6,1.3,14.1,32.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,16.8
50405.0,Agawam Junior High,6.2,1.1,14.9,34.5,23.3,1.4,1.4,7.1,87.0,0.0,0.0,3.0,47.9,52.1,11.8
50020.0,Benjamin J Phelps,15.6,13.2,13.0,41.8,26.8,2.1,2.9,4.9,88.1,0.0,0.0,2.1,52.7,47.3,16.8
50010.0,Clifford M Granger,8.9,7.2,19.1,45.7,32.8,1.4,1.0,9.6,85.0,0.0,0.3,2.7,50.2,49.8,19.8
50030.0,James Clark School,13.7,11.9,17.6,45.3,28.9,3.0,3.3,9.4,82.4,0.0,0.0,1.8,53.2,46.8,18.2
50303.0,Roberta G. Doering School,9.8,4.7,15.2,41.1,30.1,2.5,4.2,7.0,83.3,0.0,0.0,3.0,53.4,46.6,16.8
50025.0,Robinson Park,15.4,14.3,13.0,48.0,35.0,2.7,2.9,8.0,83.0,0.0,0.0,3.4,51.7,48.3,17.7
70005.0,Amesbury Elementary,0.0,0.0,20.4,38.1,23.7,4.1,0.5,6.2,84.3,0.5,0.0,4.4,52.3,47.7,20.4
70505.0,Amesbury High,2.9,0.5,17.0,25.9,14.6,1.3,1.2,4.2,90.7,0.0,0.0,2.5,53.5,46.5,16.7
70515.0,Amesbury Innovation High School,0.0,0.0,51.6,83.9,74.2,0.0,0.0,6.5,87.1,0.0,0.0,6.5,64.5,35.5,7.6
70013.0,Amesbury Middle,3.1,1.6,17.7,34.0,22.4,1.2,1.0,6.6,86.9,0.3,0.1,3.8,51.1,48.9,18.4
70010.0,Charles C Cashman Elementary,4.8,3.9,24.0,44.5,27.9,2.2,2.0,8.7,84.1,0.4,0.2,2.4,53.5,46.5,22.1
80009.0,Crocker Farm Elementary,27.2,18.8,21.8,46.8,26.7,7.2,15.8,25.7,42.8,0.0,0.0,8.4,50.5,49.5,18.1
80020.0,Fort River Elementary,24.8,15.5,21.5,52.2,38.2,11.3,14.0,22.1,47.2,0.0,0.0,5.4,49.6,50.4,20.2
80050.0,Wildwood Elementary,27.6,15.9,15.4,47.4,31.5,10.3,13.7,20.5,47.7,0.2,0.0,7.6,52.6,47.4,20.1
90505.0,Andover High,9.5,0.8,16.1,20.9,6.3,1.9,14.5,5.0,76.3,0.1,0.0,2.2,48.9,51.1,14.7
90310.0,Andover West Middle,8.1,1.1,16.7,23.5,7.5,1.1,15.6,3.6,77.3,0.0,0.0,2.4,46.2,53.8,19.9
